pert_iname,InChIKey,clinical_phase,moa,target,disease_area,indication
ibutamoren,UMUPQWIGCOZEOY-JOCHJYFZSA-N,Phase 2,growth hormone secretagogue receptor agonist,GHR|GHSR,,
ibutilide,ALOBUEHUHMBRLE-HXUWFJFHSA-N,Launched,potassium channel blocker,CACNA1C|KCNH2,cardiology,atrial fibrillation (AF)
IC261,JBJYTZXCZDNOJW-JLHYYAGUSA-N,Preclinical,casein kinase inhibitor,CSNK1A1|CSNK1D|CSNK1E|CSNK1G2,,
ICA-069673,IIBSHMFXVWTQSJ-UHFFFAOYSA-N,Preclinical,voltage-gated potassium channel activator,KCNQ2|KCNQ3,,
ICA-110381,FOYOGIUAMYSVIT-UHFFFAOYSA-N,Preclinical,voltage-gated potassium channel activator,KCNQ2,,
ICA-121431,URSQNPPONHUJDL-UHFFFAOYSA-N,Preclinical,sodium channel blocker,SCN1A|SCN3A,,
icariin,TZJALUIVHRYQQB-XLRXWWTNSA-N,Phase 3,phosphodiesterase inhibitor,PDE5A,,
icaritin,TUUXBSASAQJECY-UHFFFAOYSA-N,Phase 3,PPAR receptor antagonist,PDE5A,,
icatibant-acetate,QURWXBZNHXJZBE-SKXRKSCCSA-N,Launched,bradykinin receptor antagonist,BDKRB2,cardiology,angioedema
ICG-001,HQWTUOLCGKIECB-XZWHSSHBSA-N,Preclinical,beta-catenin inhibitor,CTNNB1,,
"ICI-118,551",VFIDUCMKNJIJTO-XJKSGUPXSA-N,Phase 2,adrenergic receptor antagonist,ADRB2|ADRB3,,
ICI-162846,ALCSGJCIESECFD-UHFFFAOYSA-N,Phase 1,histamine receptor antagonist,HRH2,,
ICI-169369,HYOLQGVNMQNERE-UHFFFAOYSA-N,Phase 2,serotonin receptor antagonist,,,
"ICI-185,282",ZWAVGFSZMACJHA-PMNBYGLBSA-N,Phase 1,thromboxane receptor antagonist,,,
ICI-192605,WHUIENZXNGAHQI-GKZDNZBASA-N,Phase 2,thromboxane receptor antagonist,TBXA2R,,
ICI-199441,AEJOEPSMZCEYJN-HXUWFJFHSA-N,Preclinical,opioid receptor agonist,CYP2D6|OPRD1|OPRK1|OPRM1|UTS2R,,
"ICI-215,001",MXWICZOXPUWAHY-HNNXBMFYSA-N,Preclinical,adrenergic receptor agonist,ADRB3,,
ICI-63197,UQDVRVNMIJAGRK-UHFFFAOYSA-N,Preclinical,phosphodiesterase inhibitor,,,
ICI-89406,HTLWRKRZKFAAAH-KRWDZBQOSA-N,Phase 1,adrenergic receptor antagonist,ADRB1|ADRB2,,
icilin,RCEFMOGVOYEGJN-UHFFFAOYSA-N,Phase 1,TRPV agonist,TRPA1|TRPM8,,
iclaprim,HWJPWWYTGBZDEG-AWEZNQCLSA-N,Phase 3,dihydrofolate reductase inhibitor,,,
icomucret,JSFATNQSLKRBCI-VAEKSGALSA-N,Phase 3,mucin production enhancer,LTB4R2,,
icosapent,JAZBEHYOTPTENJ-JLNKQSITSA-N,Launched,platelet aggregation inhibitor,ACSL3|ACSL4|FADS1|FFAR1|PPARD|PPARG|PTGS1|PTGS2|SLC8A1|TRPV1,endocrinology,hypertriglyceridemia
icotinib,QQLKULDARVNMAL-UHFFFAOYSA-N,Launched,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC)
iCRT-14,NCSHZXNGQYSKLR-UNOMPAQXSA-N,Preclinical,beta catenin inhibitor|WNT signaling inhibitor,CTNNB1|TCF4,,
ID-1101,OSCCDBFHNMXNME-YUPRTTJUSA-N,Phase 1,insulin sensitizer,INS,,
ID-8,VVZNWYXIOADGSW-UHFFFAOYSA-N,Preclinical,,,,
idalopirdine,YBAWYTYNMZWMMJ-UHFFFAOYSA-N,Phase 3,serotonin receptor antagonist,HTR6,,
idarubicin,XDXDZDZNSLXDNA-TZNDIEGXSA-N,Launched,topoisomerase inhibitor,TOP2A,hematologic malignancy,acute myeloid leukemia (AML)
idasanutlin,TVTXCJFHQKSQQM-LJQIRTBHSA-N,Phase 3,MDM inhibitor,MDM2|TP53,,
idasanutlin,"InChI=1S/C31H29Cl2F2N3O4/c1-30(2,3)14-24-31(15-36,19-10-9-17(32)13-21(19)34)25(18-6-5-7-20(33)26(18)35)27(38-24)28(39)37-22-11-8-16(29(40)41)12-23(22)42-4/h5-13,24-25,27,38H,14H2,1-4H3,(H,37,39)(H,40,41)/t24-,25-,27+,31-/m0/s1",Phase 3,MDM inhibitor,MDM2|TP53,,
idazoxan,HPMRFMKYPGXPEP-SNVBAGLBSA-N,Phase 3,adrenergic receptor antagonist,ADRA2A|PTGS2,,
idebenone,JGPMMRGNQUBGND-UHFFFAOYSA-N,Launched,calcium channel modulator,,neurology/psychiatry|ophthalmology,Alzheimer's disease|Friedreich's ataxia|Leber hereditary optic neuropathy (LHON)
idelalisib,IFSDAJWBUCMOAH-HNNXBMFYSA-N,Launched,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,hematologic malignancy,chronic lymphocytic leukemia (CLL)
idelalisib,"InChI=1S/C22H18FN7O/c1-2-15(28-20-18-19(25-11-24-18)26-12-27-20)21-29-16-10-6-9-14(23)17(16)22(31)30(21)13-7-4-3-5-8-13/h3-12,15H,2H2,1H3,(H2,24,25,26,27,28)/t15-/m0/s1",Launched,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,hematologic malignancy,chronic lymphocytic leukemia (CLL)
IDF-11774,QGBBBLPWBSWERZ-UHFFFAOYSA-N,Preclinical,hypoxia inducible factor inhibitor,,,
IDH-305,DCGDPJCUIKLTDU-SUNYJGFJSA-N,Phase 2,isocitrate dehydrogenase inhibitor,,,
IDO5L,HGXSLPIXNPASGZ-UHFFFAOYSA-N,Preclinical,"indoleamine 2,3-dioxygenase inhibitor",IDO1,,
idoxuridine,XQFRJNBWHJMXHO-RRKCRQDMSA-N,Launched,DNA directed DNA polymerase inhibitor|DNA synthesis inhibitor,,infectious disease,virus herpes simplex (HSV)
IDRA-21,VZRNTCHTJRLTMU-YFKPBYRVSA-N,Preclinical,glutamate receptor positive allosteric modulator,GRIA1|GRIA2|GRIA3|GRIA4,,
idramantone,TZBDEVBNMSLVKT-XYYXLIQBSA-N,Preclinical,,,,
idronoxil,ZZUBHVMHNVYXRR-UHFFFAOYSA-N,Phase 3,XIAP inhibitor,ENOX2|SPHK1,,
IEM1460,IWYZMMIPAJDJBN-UHFFFAOYSA-N,Preclinical,glutamate receptor antagonist,GRIA2,,
IEM1754,UWWMQHVWAYFCDT-UHFFFAOYSA-N,Preclinical,glutamate receptor antagonist,GRIA1,,
ifenprodil,UYNVMODNBIQBMV-KKSFZXQISA-N,Launched,adrenergic receptor antagonist|glutamate receptor antagonist,GRIN2B,,
ifosfamide,HOMGKSMUEGBAAB-CQSZACIVSA-N,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP3A4|CYP3A5|CYP3A7|PTGS1,oncology|urology,testicular carcinoma|hemorrhagic cystitis
igmesine,VCZSWYIFCKGTJI-JLHYYAGUSA-N,Phase 2,sigma receptor agonist,SIGMAR1,,
iguratimod,ANMATWQYLIFGOK-UHFFFAOYSA-N,Launched,cyclooxygenase inhibitor|NFkB pathway inhibitor,PTGS2,rheumatology,rheumatoid arthritis
IKK-16,BWZJBXAPRCVCKQ-UHFFFAOYSA-N,Preclinical,IKK inhibitor,IKBKB,,
IKK-2-inhibitor,BMUACLADCKCNKZ-UHFFFAOYSA-N,Preclinical,IKK inhibitor|SYK inhibitor,IKBKB,,
IKK-2-inhibitor-V,CHILCFMQWMQVAL-UHFFFAOYSA-N,Phase 1,IKK inhibitor|NFkB pathway inhibitor,IKBKB,,
ilaprazole,HRRXCXABAPSOCP-AREMUKBSSA-N,Launched,proton pump inhibitor,,gastroenterology,gastroesophageal reflux disease (GERD)
ilepcimide,BLPUOQGPBJPXRL-FNORWQNLSA-N,Phase 3,anticonvulsant,,,
ilomastat,NITYDPDXAAFEIT-DYVFJYSZSA-N,Phase 3,matrix metalloprotease inhibitor,ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9,,
iloperidone,XMXHEBAFVSFQEX-UHFFFAOYSA-N,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA2C|DRD1|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR2A|HTR6|HTR7,neurology/psychiatry,schizophrenia
iloprost,HIFJCPQKFCZDDL-GBSCXWAGSA-N,Launched,platelet aggregation inhibitor|prostanoid receptor agonist,PTGDR|PTGER1|PTGER2|PTGER3|PTGER4|PTGFR|PTGIR|TBXA2R,pulmonary,pulmonary arterial hypertension (PAH)
imatinib,KTUFNOKKBVMGRW-UHFFFAOYSA-N,Launched,Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor,ABL1|CSF1R|DDR1|KIT|NTRK1|PDGFRA|PDGFRB|RET,hematologic malignancy|oncology,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)|myelodysplastic diseases (MDS)|aggressive systemic mastocytosis (ASM)|hypereosinophilic syndrome (HES)|chronic eosinophilic leukemia (CEL)|dermatofibrosarcoma protuberans (DFSP)|gastrointestinal stromal tumors (GIST)
Imazodan,VXMYWVMXSWJFCV-UHFFFAOYSA-N,Phase 1,phosphodiesterase inhibitor,,,
imeglimin,GFICWFZTBXUVIG-SCSAIBSYSA-N,Phase 2,gluconeogenesis inhibitor,,,
imetit,PEHSVUKQDJULKE-UHFFFAOYSA-N,Preclinical,histamine receptor agonist,HRH3|HRH4,,
imexon,BIXBBIPTYBJTRY-VBMBUWLQSA-N,Phase 2,apoptosis stimulant|ribonucleotide reductase inhibitor,,,
imidacloprid,YWTYJOPNNQFBPC-UHFFFAOYSA-N,Launched,acetylcholine receptor antagonist,,,
imidafenacin,SQKXYSGRELMAAU-UHFFFAOYSA-N,Launched,acetylcholine receptor antagonist,CHRM1|CHRM3,neurology/psychiatry,spasms
imidapril,KLZWOWYOHUKJIG-BPUTZDHNSA-N,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension|congestive heart failure
imidazoacridinone,CUNDRHORZHFPLY-UHFFFAOYSA-N,Preclinical,anticancer agent,,,
imidurea,ZCTXEAQXZGPWFG-RFZPGFLSSA-N,Preclinical,other antibiotic,,,
imiloxan,UXABARREKCJULM-NSHDSACASA-N,Phase 1,adrenergic receptor antagonist,ADRA2A|ADRA2B,,
imipenem,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,pneumonia|urinary tract infections|intra-abdominal infections|gynecologic infections|bacterial septicemia|bone and joint infections|skin infections|endocarditis
imipramine,BCGWQEUPMDMJNV-UHFFFAOYSA-N,Launched,norepinephrine reputake inhibitor|serotonin reuptake inhibitor,ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|KCND2|KCND3|KCNH1|KCNH2|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry|urology,depression|nocturnal enuresis
imiquimod,DOUYETYNHWVLEO-UHFFFAOYSA-N,Launched,interferon inducer|toll-like receptor agonist,TLR7|TLR8,dermatology|infectious disease|oncology,actinic keratosis (AK)|genital warts|basal cell carcinoma (BCC)
imirestat,QCCHBHSAIQIQGO-UHFFFAOYSA-N,Preclinical,aldose reductase inhibitor,,,
imisopasem-manganese,UWYSKLMRWPKZES-XNPJUPKFSA-L,Preclinical,superoxide dismutase mimetic,,,
immepip,MCNGUYXRBCIGOV-UHFFFAOYSA-N,Preclinical,histamine receptor agonist,HRH3|HRH4,,
immethridine,DFVSGZHJSIEEQQ-UHFFFAOYSA-N,Phase 1,histamine receptor agonist,HRH3,,
impentamine,MZCJWLAXZRFUPI-UHFFFAOYSA-N,Preclinical,histamine receptor antagonist,HRH3,,
IMREG-1,HIINQLBHPIQYHN-JTQLQIEISA-N,Phase 3,,,,
inarigivir,LYMICVBGNUEHGE-NLKZJYKHSA-N,Phase 2,antiviral,,,
inarigivir-soproxil,CJCYTUJOSMYXLE-NHMFLIHISA-N,Phase 2,antiviral,,,
INC-280,LIOLIMKSCNQPLV-UHFFFAOYSA-N,Phase 3,c-Met inhibitor,MET,,
INCA-6,GCHPUOHXXCNSQL-UHFFFAOYSA-N,Preclinical,calcineurin inhibitor,NFATC1,,
INCB-003284,NXZNYBUBXWWKCP-JMOWIOHXSA-N,Phase 2,CC chemokine receptor antagonist,,,
INCB-057643,ZNFWPFHSBWLNSO-UHFFFAOYSA-N,Phase 1/Phase 2,bromodomain inhibitor,,,
INCB-3284,NXZNYBUBXWWKCP-DNRQZRRGSA-N,Phase 2,CC chemokine receptor antagonist,CCR2,,
incyclinide,MDYVZYDNBUAVCN-WCAKBIDQSA-N,Phase 2,matrix metalloprotease inhibitor,,,
indacaterol,QZZUEBNBZAPZLX-QFIPXVFZSA-N,Launched,adrenergic receptor agonist,ADRB1|ADRB2,pulmonary,chronic obstructive pulmonary disease (COPD)
indalpine,SADQVAVFGNTEOD-UHFFFAOYSA-N,Withdrawn,selective serotonin reuptake inhibitor (SSRI),SLC6A4,,
indapamide,NDDAHWYSQHTHNT-JTQLQIEISA-N,Launched,thiazide diuretic,CA2|HTR3A|KCNQ1,cardiology,hypertension|congestive heart failure
indatraline,SVFXPTLYMIXFRX-XJKSGUPXSA-N,Preclinical,norepinephrine transporter inhibitor,MAOA|MAOB,,
indeglitazar,YMPALHOKRBVHOJ-UHFFFAOYSA-N,Phase 2,PPAR receptor agonist,NCOA1|PPARA|PPARD|PPARG,,
indeloxazine,MADRVGBADLFHMO-GFCCVEGCSA-N,Withdrawn,norepinephrine reuptake inhibitor|serotonin reuptake inhibitor,,,
indibulin,SOLIIYNRSAWTSQ-UHFFFAOYSA-N,Phase 1/Phase 2,tubulin polymerization inhibitor,,,
indinavir,CBVCZFGXHXORBI-PXQQMZJSSA-N,Launched,HIV protease inhibitor,CYP3A4|CYP3A5|CYP3A7,infectious disease,human immunodeficiency virus (HIV-1)
indinavir,"InChI=1S/C36H47N5O4/c1-36(2,3)39-35(45)31-24-40(22-26-12-9-15-37-21-26)16-17-41(31)23-29(42)19-28(18-25-10-5-4-6-11-25)34(44)38-33-30-14-8-7-13-27(30)20-32(33)43/h4-15,21,28-29,31-33,42-43H,16-20,22-24H2,1-3H3,(H,38,44)(H,39,45)/t28-,29+,31+,32-,33+/m1/s1",Launched,HIV protease inhibitor,CYP3A4|CYP3A5|CYP3A7,infectious disease,human immunodeficiency virus (HIV-1)
indiplon,CBIAWPMZSFFRGN-UHFFFAOYSA-N,Phase 3,benzodiazepine receptor agonist,GABRA1,,
indirubin,CRDNMYFJWFXOCH-YPKPFQOOSA-N,Phase 2/Phase 3,CDK inhibitor|glycogen synthase kinase inhibitor,CDK1|CDK5|GSK3A,,
indirubin-3-monoxime,HBDSHCUSXQATPO-BGBJRWHRSA-N,Preclinical,CDK inhibitor|glycogen synthase kinase inhibitor,CDK1|CDK2|CDK5|CDK5R1|GSK3B,,
indisulam,SETFNECMODOHTO-UHFFFAOYSA-N,Phase 2,CDK inhibitor,CA1|CA12|CA14|CA2|CA6|CA7|CA9,,
indium-tri(2-propanolate),OVZUSPADPSOQQN-UHFFFAOYSA-N,Preclinical,,,,
indium(III)-isopropoxide,JUUUERJZVKCDOT-UHFFFAOYSA-N,Preclinical,,,,
indobufen,AYDXAULLCROVIT-OAHLLOKOSA-N,Launched,cyclooxygenase inhibitor|platelet aggregation inhibitor,PTGS1|PTGS2,hematology,thrombosis
indocyanine-green,BDBMLMBYCXNVMC-UHFFFAOYSA-O,Launched,contrast agent,SLCO1B1,cardiology,vascular imaging agent
indole-3-carbinol,IVYPNXXAYMYVSP-UHFFFAOYSA-N,Phase 2/Phase 3,"aryl hydrocarbon receptor agonist|indoleamine 2,3-dioxygenase inhibitor",AHR,,
indole-3-pyrubate,KDCSRTPNDBPWQZ-UHFFFAOYSA-N,Phase 2,melatonin receptor agonist,,,
indomethacin,CGIGDMFJXJATDK-UHFFFAOYSA-N,Launched,cyclooxygenase inhibitor,GLO1|PLA2G2A|PPARA|PPARG|PTGDR2|PTGR2|PTGS1|PTGS2|SLC46A1,rheumatology|orthopedics,rheumatoid arthritis|ankylosing spondylitis|osteoarthritis|bursitis|tendinitis
indoprofen,RJMIEHBSYVWVIN-LLVKDONJSA-N,Withdrawn,cyclooxygenase inhibitor|prostanoid receptor antagonist,CXCR1|CXCR2|PTGS1|PTGS2,,
indoramin,JXZZEXZZKAWDSP-UHFFFAOYSA-N,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2B|ADRA2C,urology|cardiology,benign prostatic hyperplasia (BPH)|hypertension
indoximod,ZADWXFSZEAPBJS-SNVBAGLBSA-N,Phase 2,"indoleamine 2,3-dioxygenase inhibitor",IDO1,,
ingenol,VEBVPUXQAPLADL-POYOOMFHSA-N,Launched,PKC activator,PRKCD|PRKCE,dermatology,keratosis
ingenol-mebutate,VDJHFHXMUKFKET-WDUFCVPESA-N,Launched,PKC activator,PRKCA|PRKCB|PRKCD|PRKCE|PRKCG,dermatology,actinic keratosis (AK)
INH1,JPMOKRWIYQGMJL-UHFFFAOYSA-N,Preclinical,Hec1 inhibitor,NDC80,,
inimur,SRQKTCXJCCHINN-ORMNHXAVSA-N,Launched,other antifungal,,,
iniparib,MDOJTZQKHMAPBK-UHFFFAOYSA-N,Phase 3,PARP inhibitor,PARP1,,
inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,Launched,neurotrophic agent,PARP1|PNP,,
inositol,CDAISMWEOUEBRE-GPIVLXJGSA-N,Launched,insulin sensitizer,CDIPT,obstetrics/gynecology,polycystic ovary syndrom (PCOS)
inositol-hexanicotinate,MFZCIDXOLLEMOO-GYSGTQPESA-N,Launched,,,dermatology|cardiology|rheumatology|neurology/psychiatry,statis dermatitis|claudication|Raynaud's disease|hypertension|insomnia|atherosclerosis|restless leg syndrome|schizophrenia|psoriasis|acne vulgaris (AV)
INS316,PGAVKCOVUIYSFO-PXBUCIJWSA-N,Phase 2,purinergic receptor antagonist,,,
INT-747,ZXERDUOLZKYMJM-ZWECCWDJSA-N,Phase 3,FXR agonist,,,
INT-767,XGIYOABXZNJOHV-APIYUPOTSA-N,Phase 1,FXR agonist,GPBAR1,,
integrin-antagonist-1,ZMXBIIQMSGOIRZ-RCZVLFRGSA-N,Phase 1,integrin antagonist,ITGAV|ITGB6,,
INX-08189,YFXGICNMLCGLHJ-KGSOWIGMSA-N,Phase 2,antiviral,,,
iobenguane,PDWUPXJEEYOOTR-UHFFFAOYSA-N,Launched,antineoplastic agent,,oncology|cardiology|endocrinology,neuroblastoma|congestive heart failure|pheochromocytoma
iocetamic-acid,GSVQIUGOUKJHRC-YFKPBYRVSA-N,Launched,radiopaque medium,,radiology,contrast agent
iodipamide,FFINMCNLQNTKLU-UHFFFAOYSA-N,Launched,radiopaque medium,ALB,radiology,contrast agent
iodixanol,NBQNWMBBSKPBAY-BRSBDYLESA-N,Launched,radiopaque medium,,radiology,contrast agent
iodoantipyrine,ZZOBLCHCPLOXCE-UHFFFAOYSA-N,Preclinical,,,,
iododexetimide,WJLRTFJPHDSXAF-QHCPKHFHSA-N,Phase 2,acetylcholine receptor antagonist,,,
iodophenpropit,UBHYDQAARZKHEZ-UHFFFAOYSA-N,Preclinical,histamine receptor antagonist,HRH3|HRH4,,
iodoquinol,UXZFQZANDVDGMM-UHFFFAOYSA-N,Launched,antiseptic,,infectious disease,amebiasis
iohexol,NTHXOOBQLCIOLC-GMTAPVOTSA-N,Launched,radiopaque medium,,radiology,contrast agent
iopamidol,XQZXYNRDCRIARQ-LURJTMIESA-N,Launched,radiopaque medium,,radiology,contrast agent
iopanic-acid,OIRFJRBSRORBCM-YFKPBYRVSA-N,Withdrawn,thyroid hormone inhibitor,,,
iopodic-acid,YQNFBOJPTAXAKV-OMCISZLKSA-N,Launched,,,radiology,contrast agent
iopromide,DGAIEPBNLOQYER-RKDXNWHRSA-N,Launched,radiopaque medium,,radiology,contrast agent
iothalamic-acid-d3,UXIGWFXRQKWHHA-UHFFFAOYSA-N,Preclinical,radiopaque medium,,,
ioversol,AMDBBAQNWSUWGN-RKDXNWHRSA-N,Launched,radiopaque medium,,radiology,contrast agent
IOWH032,DSFNLJXHXBIKDS-UHFFFAOYSA-N,Phase 2,CFTR channel antagonist,CFTR,,
IOX1,JGRPKOGHYBAVMW-UHFFFAOYSA-N,Preclinical,histone demethylase inhibitor,EGLN1|KDM3A|KDM4C|KDM6B,,
IOX2,CAOSCCRYLYQBES-UHFFFAOYSA-N,Preclinical,hypoxia inducible factor inhibitor,EGLN1|KDM2A|KDM5C,,
ioxaglic-acid,TYYBFXNZMFNZJT-UHFFFAOYSA-N,Launched,radiopaque medium,,radiology,contrast agent
ioxilan,UUMLTINZBQPNGF-NXEZZACHSA-N,Launched,radiopaque medium,,radiology,angiography
IPA-3,RFAXLXKIAKIUDT-UHFFFAOYSA-N,Preclinical,p21 activated kinase inhibitor,PAK1,,
IPAG,UUKPIWYXWLJPJF-UHFFFAOYSA-N,Preclinical,,,,
IPI549,XUMALORDVCFWKV-IBGZPJMESA-N,Phase 2,PI3K inhibitor,,,
ipidacrine,YLUSMKAJIQOXPV-UHFFFAOYSA-N,Phase 3,acetylcholinesterase inhibitor,ACHE,,
ipragliflozin-L-proline,AHFWIQIYAXSLBA-RQXATKFSSA-N,Launched,sodium/glucose cotransporter inhibitor,SLC5A2,endocrinology,diabetes mellitus
ipratropium,OEXHQOGQTVQTAT-KKKDIUQISA-N,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,pulmonary,bronchospasm|chronic obstructive pulmonary disease (COPD)|bronchitis|emphysema
ipriflavone,SFBODOKJTYAUCM-UHFFFAOYSA-N,Launched,bone resorption inhibitor,,orthopedics,osteoporosis
iproniazid,NYMGNSNKLVNMIA-UHFFFAOYSA-N,Withdrawn,monoamine oxidase inhibitor,MAOA|MAOB,,
ipsapirone,TZJUVVIWVWFLCD-UHFFFAOYSA-N,Phase 3,serotonin receptor agonist,HTR1A,,
irbesartan,YOSHYTLCDANDAN-UHFFFAOYSA-N,Launched,angiotensin receptor antagonist,AGTR1|JUN|SLC10A1,cardiology|nephrology,hypertension|diabetic nephropathy
irganox-1010,BGYHLZZASRKEJE-UHFFFAOYSA-N,Preclinical,antioxidant,,,
iRGD-peptide,YHTTWXCDIRTOQX-YDZOEDPBSA-N,Preclinical,integrin signaling activator,,,
irinotecan,UWKQSNNFCGGAFS-XIFFEERXSA-N,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,colorectal cancer
IRL-2500,UZDORQWMYRRLQV-JHOUSYSJSA-N,Preclinical,endothelin receptor antagonist,EDNRB,,
irosustat,DSLPMJSGSBLWRE-UHFFFAOYSA-N,Phase 2,steroid sulfatase inhibitor,CA2|STS,,
irsogladine,ATCGGEJZONJOCL-UHFFFAOYSA-N,Launched,phosphodiesterase inhibitor,PDE4A,gastroenterology,peptic ulcer disease (PUD)
isamoltane,XVTVPGKWYHWYAD-CQSZACIVSA-N,Phase 1,adrenergic receptor antagonist,HTR1A|HTR1B,,
isavuconazole,DDFOUSQFMYRUQK-FPTDNZKUSA-N,Phase 3,cytochrome P450 inhibitor,CYP3A4,,
isaxonine,FTCYIGBVOHNHCD-UHFFFAOYSA-N,Withdrawn,nerve growth factor agonist,,,
isbufylline,WHUWQSQEVISUMC-UHFFFAOYSA-N,Phase 2,phosphodiesterase inhibitor,,,
isepamicin,UDIIBEDMEYAVNG-ZKFPOVNWSA-N,Launched,protein synthesis inhibitor,,infectious disease,pneumonia|peritonitis
ISO-1,AIXMJTYHQHQJLU-SNVBAGLBSA-N,Preclinical,macrophage migration inhibiting factor inhibitor,MIF,,
isobutamben,PUYOAVGNCWPANW-UHFFFAOYSA-N,Preclinical,local anesthetic,,,
isobutyramide,WFKAJVHLWXSISD-UHFFFAOYSA-N,Phase 2,gene expression stimulant,HBE1|HBG1,,
isocarboxazid,XKFPYPQQHFEXRZ-UHFFFAOYSA-N,Launched,monoamine oxidase inhibitor,MAOA|MAOB,neurology/psychiatry,depression
isoconazole,MPIPASJGOJYODL-GOSISDBHSA-N,Launched,fungal lanosterol demethylase inhibitor,CYP17A1,infectious disease,gram-positive bacterial infections
isodibut,ZHXRDXTYPCPBTI-UHFFFAOYSA-N,Phase 2,aldehyde reductase inhibitor,,,
isoetharine,HUYWAWARQUIQLE-MFKMUULPSA-N,Launched,adrenergic receptor agonist,,pulmonary,bronchospasm|asthma
isofloxythepin,XDBMBHVYXPBOPL-OAQYLSRUSA-N,Phase 2,dopamine receptor antagonist,,,
isoflupredone-acetate,ZOCUOMKMBMEYQV-GSLJADNHSA-N,Preclinical,,NR3C1,,
isoflurane,PIWKPBJCKXDKJR-PVQJCKRUSA-N,Launched,inhaled anaesthetic,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9,neurology/psychiatry,general anaesthetic
isoflurophate,MUCZHBLJLSDCSD-UHFFFAOYSA-N,Launched,cholinesterase inhibitor,ACHE|BCHE,ophthalmology,glaucoma
isoguvacine,KRVDMABBKYMBHG-UHFFFAOYSA-N,Preclinical,benzodiazepine receptor agonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRR1|GABRR2|GABRR3,,
isoleucine,AGPKZVBTJJNPAG-RFZPGFLSSA-N,Launched,,,,
isoliquiritigenin,DXDRHHKMWQZJHT-FPYGCLRLSA-N,Preclinical,guanylate cyclase activator,GABBR1,,
isometheptene-mucate,XVQUOJBERHHONY-VIFPVBQESA-N,Launched,,,neurology/psychiatry,headache
isoniazid,QRXWMOHMRWLFEY-UHFFFAOYSA-N,Launched,FABI inhibitor,CYP1A2|CYP2C19|CYP2C8|CYP2E1|CYP3A4,infectious disease,tuberculosis
isopentyl-4-methoxycinnamate,UBNYRXMKIIGMKK-RMKNXTFCSA-N,Launched,,,dermatology,sunscreen lotion
isoprenaline,JWZZKOKVBUJMES-LLVKDONJSA-N,Launched,adrenergic receptor agonist,ADRB1|ADRB2|ADRB3,cardiology|pulmonary,bradycardia|heart block|asthma
isopropamide-iodide,JTPUMZTWMWIVPA-UHFFFAOYSA-O,Launched,acetylcholine receptor antagonist,CHRM3|CHRM4,gastroenterology,peptic ulcer disease (PUD)|gastrointestinal acidosis
isopropyl-myristate,AXISYYRBXTVTFY-UHFFFAOYSA-N,Launched,,,dermatology,cosmetic
isopropyl-palmitate,XUGNVMKQXJXZCD-UHFFFAOYSA-N,Launched,cosmetic moisturizer,,dermatology,cosmetic
isoquercitrin,OVSQVDMCBVZWGM-QSOFNFLRSA-N,Phase 2/Phase 3,antioxidant,,,
"Isoquinoline,-6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro,",HMYJLVDKPJHJCF-QMMMGPOBSA-N,Preclinical,,,,
isosorbide,KLDXJTOLSGUMSJ-JGWLITMVSA-N,Launched,nitric oxide stimulant,,cardiology,angina pectoris|coronary artery disease (CAD)
isosorbide-dinitrate,MOYKHGMNXAOIAT-JGWLITMVSA-N,Launched,nitric oxide stimulant,GUCY1A2|GUCY1A3|GUCY1B2|GUCY1B3|NPR1,cardiology,angina pectoris|coronary artery disease (CAD)
